出口国,经度,纬度,进口国,经度,纬度,贸易量（万吨）
澳大利亚,118.583333,-20.300000,中国,118.500000,38.933333,71463 
澳大利亚,118.583333,-20.300000,埃及,29.870714,31.189086,9 
澳大利亚,118.583333,-20.300000,法国,2.343039,51.054903,5 
澳大利亚,118.583333,-20.300000,印度尼西亚,105.957125,-6.009983,379 
澳大利亚,118.583333,-20.300000,印度,80.126953,14.250783,844 
澳大利亚,118.583333,-20.300000,日本,131.600000,33.233333,7065 
澳大利亚,118.583333,-20.300000,韩国,127.750000,34.900000,5569 
澳大利亚,118.583333,-20.300000,马来西亚,100.616667,4.151944,64 
澳大利亚,118.583333,-20.300000,荷兰,4.073153,51.973264,161 
澳大利亚,118.583333,-20.300000,菲律宾,125.500056,9.781017,24 
澳大利亚,118.583333,-20.300000,波兰,18.719658,54.405214,8 
澳大利亚,118.583333,-20.300000,新加坡,103.833333,1.366667,132 
澳大利亚,118.583333,-20.300000,土耳其,36.188403,36.599597,17 
澳大利亚,118.583333,-20.300000,中国台湾,120.321111,22.563611,1746 
澳大利亚,118.583333,-20.300000,英国,-3.805300,51.574417,46 
澳大利亚,118.583333,-20.300000,美国,-118.266667,33.716667,7 
澳大利亚,118.583333,-20.300000,越南,106.683300,20.866700,152 
巴西,-44.383333,-2.566667,阿根廷,-60.328144,-33.220833,263 
巴西,-44.383333,-2.566667,澳大利亚,118.583333,-20.300000,82 
巴西,-44.383333,-2.566667,比利时,3.766667,51.116667,76 
巴西,-44.383333,-2.566667,巴林,50.711972,26.188528,621 
巴西,-44.383333,-2.566667,圣巴茨,-62.853503,17.902303,128 
巴西,-44.383333,-2.566667,加拿大,-66.783300,50.033300,59 
巴西,-44.383333,-2.566667,中国,118.500000,38.933333,22225 
巴西,-44.383333,-2.566667,德国,9.933333,53.533333,251 
巴西,-44.383333,-2.566667,阿尔及利亚,-0.650000,35.716700,5 
巴西,-44.383333,-2.566667,埃及,29.870714,31.189086,381 
巴西,-44.383333,-2.566667,西班牙,-5.700000,43.566667,483 
巴西,-44.383333,-2.566667,法国,2.343039,51.054903,637 
巴西,-44.383333,-2.566667,克罗地亚,14.466158,44.535172,34 
巴西,-44.383333,-2.566667,印度尼西亚,105.957125,-6.009983,68 
巴西,-44.383333,-2.566667,印度,80.126953,14.250783,283 
巴西,-44.383333,-2.566667,伊朗,56.204903,27.143853,17 
巴西,-44.383333,-2.566667,意大利,17.200000,40.450000,431 
巴西,-44.383333,-2.566667,日本,131.600000,33.233333,1724 
巴西,-44.383333,-2.566667,韩国,127.750000,34.900000,951 
巴西,-44.383333,-2.566667,科特迪瓦,-4.013392,5.270269,5 
巴西,-44.383333,-2.566667,利比亚,15.216700,32.366700,132 
巴西,-44.383333,-2.566667,墨西哥,-102.166700,17.916700,214 
巴西,-44.383333,-2.566667,马来西亚,100.616667,4.151944,2268 
巴西,-44.383333,-2.566667,荷兰,4.073153,51.973264,1821 
巴西,-44.383333,-2.566667,阿曼,56.616667,24.500000,1116 
巴西,-44.383333,-2.566667,菲律宾,125.500056,9.781017,508 
巴西,-44.383333,-2.566667,波兰,18.719658,54.405214,153 
巴西,-44.383333,-2.566667,卡塔尔,51.558608,25.301622,66 
巴西,-44.383333,-2.566667,罗马尼亚,28.650000,44.166700,119 
巴西,-44.383333,-2.566667,俄罗斯,39.932867,43.411539,10 
巴西,-44.383333,-2.566667,沙特阿拉伯,49.683333,27.016667,94 
巴西,-44.383333,-2.566667,新加坡,103.833333,1.366667,74 
巴西,-44.383333,-2.566667,斯洛文尼亚,13.733333,45.550000,83 
巴西,-44.383333,-2.566667,泰国,100.824942,13.139208,4 
巴西,-44.383333,-2.566667,土耳其,36.188403,36.599597,360 
巴西,-44.383333,-2.566667,特尼尼达和多巴哥,-61.479928,10.316594,158 
巴西,-44.383333,-2.566667,中国台湾,120.321111,22.563611,413 
巴西,-44.383333,-2.566667,英国,-3.805300,51.574417,293 
巴西,-44.383333,-2.566667,美国,-118.266667,33.716667,322 
加拿大,-66.783300,50.033300,比利时,3.766667,51.116667,88 
加拿大,-66.783300,50.033300,巴林,50.711972,26.188528,51 
加拿大,-66.783300,50.033300,圣巴茨,-62.853503,17.902303,182 
加拿大,-66.783300,50.033300,中国,118.500000,38.933333,616 
加拿大,-66.783300,50.033300,德国,9.933333,53.533333,127 
加拿大,-66.783300,50.033300,埃及,29.870714,31.189086,51 
加拿大,-66.783300,50.033300,西班牙,-5.700000,43.566667,246 
加拿大,-66.783300,50.033300,法国,2.343039,51.054903,509 
加拿大,-66.783300,50.033300,印度尼西亚,105.957125,-6.009983,34 
加拿大,-66.783300,50.033300,日本,131.600000,33.233333,453 
加拿大,-66.783300,50.033300,韩国,127.750000,34.900000,273 
加拿大,-66.783300,50.033300,尼日利亚,3.394303,6.437622,5 
加拿大,-66.783300,50.033300,荷兰,4.073153,51.973264,373 
加拿大,-66.783300,50.033300,新西兰,174.700000,-38.183300,24 
加拿大,-66.783300,50.033300,菲律宾,125.500056,9.781017,36 
加拿大,-66.783300,50.033300,卡塔尔,51.558608,25.301622,17 
加拿大,-66.783300,50.033300,土耳其,36.188403,36.599597,67 
加拿大,-66.783300,50.033300,特尼尼达和多巴哥,-61.479928,10.316594,74 
加拿大,-66.783300,50.033300,中国台湾,120.321111,22.563611,228 
加拿大,-66.783300,50.033300,英国,-3.805300,51.574417,223 
加拿大,-66.783300,50.033300,美国,-118.266667,33.716667,71 
智利,-70.883333,-27.050000,阿根廷,-60.328144,-33.220833,7 
智利,-70.883333,-27.050000,巴林,50.711972,26.188528,117 
智利,-70.883333,-27.050000,巴西,-44.383333,-2.566667,29 
智利,-70.883333,-27.050000,中国,118.500000,38.933333,1083 
智利,-70.883333,-27.050000,厄瓜多尔,-80.900000,-2.216667,4 
智利,-70.883333,-27.050000,西班牙,-5.700000,43.566667,47 
智利,-70.883333,-27.050000,印度,80.126953,14.250783,4 
智利,-70.883333,-27.050000,日本,131.600000,33.233333,197 
智利,-70.883333,-27.050000,韩国,127.750000,34.900000,98 
智利,-70.883333,-27.050000,科特迪瓦,-4.013392,5.270269,5 
智利,-70.883333,-27.050000,美国,-118.266667,33.716667,12 
智利,-70.883333,-27.050000,越南,106.683300,20.866700,6 
印度尼西亚,105.957125,-6.009983,中国,118.500000,38.933333,152 
印度尼西亚,105.957125,-6.009983,日本,131.600000,33.233333,6 
印度,80.126953,14.250783,阿联酋,54.386400,24.535661,21 
印度,80.126953,14.250783,阿根廷,-60.328144,-33.220833,7 
印度,80.126953,14.250783,孟加拉,89.590833,22.490556,11 
印度,80.126953,14.250783,巴林,50.711972,26.188528,17 
印度,80.126953,14.250783,巴西,-44.383333,-2.566667,22 
印度,80.126953,14.250783,中国,118.500000,38.933333,672 
印度,80.126953,14.250783,埃及,29.870714,31.189086,93 
印度,80.126953,14.250783,印度尼西亚,105.957125,-6.009983,21 
印度,80.126953,14.250783,伊朗,56.204903,27.143853,6 
印度,80.126953,14.250783,日本,131.600000,33.233333,133 
印度,80.126953,14.250783,肯尼亚,39.644103,-4.047125,6 
印度,80.126953,14.250783,韩国,127.750000,34.900000,91 
印度,80.126953,14.250783,科特迪瓦,-4.013392,5.270269,15 
印度,80.126953,14.250783,墨西哥,-102.166700,17.916700,17 
印度,80.126953,14.250783,马来西亚,100.616667,4.151944,8 
印度,80.126953,14.250783,莫桑比克,32.566667,-25.983333,39 
印度,80.126953,14.250783,荷兰,4.073153,51.973264,60 
印度,80.126953,14.250783,阿曼,56.616667,24.500000,19 
印度,80.126953,14.250783,巴基斯坦,66.977189,24.806669,2 
印度,80.126953,14.250783,波兰,18.719658,54.405214,9 
印度,80.126953,14.250783,卡塔尔,51.558608,25.301622,6 
印度,80.126953,14.250783,罗马尼亚,28.650000,44.166700,5 
印度,80.126953,14.250783,沙特阿拉伯,49.683333,27.016667,11 
印度,80.126953,14.250783,新加坡,103.833333,1.366667,11 
印度,80.126953,14.250783,斯洛文尼亚,13.733333,45.550000,9 
印度,80.126953,14.250783,泰国,100.824942,13.139208,18 
印度,80.126953,14.250783,中国台湾,120.321111,22.563611,9 
印度,80.126953,14.250783,英国,-3.805300,51.574417,20 
印度,80.126953,14.250783,美国,-118.266667,33.716667,14 
印度,80.126953,14.250783,越南,106.683300,20.866700,27 
印度,80.126953,14.250783,南非,17.966667,-33.033333,55 
伊朗,56.204903,27.143853,阿联酋,54.386400,24.535661,16 
伊朗,56.204903,27.143853,孟加拉,89.590833,22.490556,14 
伊朗,56.204903,27.143853,中国,118.500000,38.933333,703 
伊朗,56.204903,27.143853,埃及,29.870714,31.189086,6 
伊朗,56.204903,27.143853,印度,80.126953,14.250783,104 
伊朗,56.204903,27.143853,日本,131.600000,33.233333,6 
伊朗,56.204903,27.143853,肯尼亚,39.644103,-4.047125,16 
伊朗,56.204903,27.143853,韩国,127.750000,34.900000,6 
伊朗,56.204903,27.143853,阿曼,56.616667,24.500000,59 
伊朗,56.204903,27.143853,卡塔尔,51.558608,25.301622,2 
伊朗,56.204903,27.143853,俄罗斯,39.932867,43.411539,8 
伊朗,56.204903,27.143853,沙特阿拉伯,49.683333,27.016667,3 
伊朗,56.204903,27.143853,新加坡,103.833333,1.366667,7 
伊朗,56.204903,27.143853,泰国,100.824942,13.139208,36 
伊朗,56.204903,27.143853,美国,-118.266667,33.716667,8 
伊朗,56.204903,27.143853,乌拉圭,-58.424389,-33.880725,16 
伊朗,56.204903,27.143853,越南,106.683300,20.866700,2 
毛里塔尼亚,-17.036250,20.814442,中国,118.500000,38.933333,863 
毛里塔尼亚,-17.036250,20.814442,法国,2.343039,51.054903,41 
毛里塔尼亚,-17.036250,20.814442,意大利,17.200000,40.450000,100 
毛里塔尼亚,-17.036250,20.814442,日本,131.600000,33.233333,68 
毛里塔尼亚,-17.036250,20.814442,荷兰,4.073153,51.973264,124 
毛里塔尼亚,-17.036250,20.814442,新加坡,103.833333,1.366667,17 
毛里塔尼亚,-17.036250,20.814442,美国,-118.266667,33.716667,7 
墨西哥,-102.166700,17.916700,巴林,50.711972,26.188528,16 
墨西哥,-102.166700,17.916700,巴西,-44.383333,-2.566667,9 
墨西哥,-102.166700,17.916700,加拿大,-66.783300,50.033300,9 
墨西哥,-102.166700,17.916700,中国,118.500000,38.933333,95 
墨西哥,-102.166700,17.916700,法国,2.343039,51.054903,15 
墨西哥,-102.166700,17.916700,韩国,127.750000,34.900000,9 
墨西哥,-102.166700,17.916700,秘鲁,-75.233333,-15.233333,51 
墨西哥,-102.166700,17.916700,俄罗斯,39.932867,43.411539,5 
墨西哥,-102.166700,17.916700,特尼尼达和多巴哥,-61.479928,10.316594,7 
墨西哥,-102.166700,17.916700,美国,-118.266667,33.716667,74 
墨西哥,-102.166700,17.916700,乌拉圭,-58.424389,-33.880725,6 
马来西亚,100.616667,4.151944,比利时,3.766667,51.116667,5 
马来西亚,100.616667,4.151944,中国,118.500000,38.933333,2878 
马来西亚,100.616667,4.151944,法国,2.343039,51.054903,7 
马来西亚,100.616667,4.151944,印度尼西亚,105.957125,-6.009983,18 
马来西亚,100.616667,4.151944,印度,80.126953,14.250783,22 
马来西亚,100.616667,4.151944,日本,131.600000,33.233333,8 
马来西亚,100.616667,4.151944,韩国,127.750000,34.900000,6 
马来西亚,100.616667,4.151944,荷兰,4.073153,51.973264,17 
马来西亚,100.616667,4.151944,阿曼,56.616667,24.500000,313 
马来西亚,100.616667,4.151944,沙特阿拉伯,49.683333,27.016667,14 
马来西亚,100.616667,4.151944,泰国,100.824942,13.139208,23 
马来西亚,100.616667,4.151944,越南,106.683300,20.866700,79 
莫桑比克,32.566667,-25.983333,孟加拉,89.590833,22.490556,6 
莫桑比克,32.566667,-25.983333,中国,118.500000,38.933333,417 
莫桑比克,32.566667,-25.983333,日本,131.600000,33.233333,3 
莫桑比克,32.566667,-25.983333,新加坡,103.833333,1.366667,5 
莫桑比克,32.566667,-25.983333,美国,-118.266667,33.716667,6 
莫桑比克,32.566667,-25.983333,越南,106.683300,20.866700,6 
挪威,17.416667,68.416667,比利时,3.766667,51.116667,34 
挪威,17.416667,68.416667,圣巴茨,-62.853503,17.902303,33 
挪威,17.416667,68.416667,加拿大,-66.783300,50.033300,3 
挪威,17.416667,68.416667,中国,118.500000,38.933333,17 
挪威,17.416667,68.416667,德国,9.933333,53.533333,398 
挪威,17.416667,68.416667,埃及,29.870714,31.189086,90 
挪威,17.416667,68.416667,法国,2.343039,51.054903,25 
挪威,17.416667,68.416667,荷兰,4.073153,51.973264,380 
挪威,17.416667,68.416667,阿曼,56.616667,24.500000,20 
挪威,17.416667,68.416667,卡塔尔,51.558608,25.301622,69 
挪威,17.416667,68.416667,沙特阿拉伯,49.683333,27.016667,157 
挪威,17.416667,68.416667,土耳其,36.188403,36.599597,157 
挪威,17.416667,68.416667,特尼尼达和多巴哥,-61.479928,10.316594,5 
挪威,17.416667,68.416667,英国,-3.805300,51.574417,129 
挪威,17.416667,68.416667,美国,-118.266667,33.716667,63 
新西兰,174.700000,-38.183300,中国,118.500000,38.933333,252 
秘鲁,-75.233333,-15.233333,中国,118.500000,38.933333,1449 
秘鲁,-75.233333,-15.233333,厄瓜多尔,-80.900000,-2.216667,17 
秘鲁,-75.233333,-15.233333,日本,131.600000,33.233333,66 
秘鲁,-75.233333,-15.233333,科特迪瓦,-4.013392,5.270269,4 
菲律宾,125.500056,9.781017,中国,118.500000,38.933333,327 
菲律宾,125.500056,9.781017,越南,106.683300,20.866700,11 
瑞典,22.289331,65.544486,圣巴茨,-62.853503,17.902303,19 
瑞典,22.289331,65.544486,中国,118.500000,38.933333,8 
瑞典,22.289331,65.544486,德国,9.933333,53.533333,74 
瑞典,22.289331,65.544486,埃及,29.870714,31.189086,9 
瑞典,22.289331,65.544486,芬兰,24.411908,64.659450,2 
瑞典,22.289331,65.544486,法国,2.343039,51.054903,5 
瑞典,22.289331,65.544486,日本,131.600000,33.233333,8 
瑞典,22.289331,65.544486,荷兰,4.073153,51.973264,15 
瑞典,22.289331,65.544486,罗马尼亚,28.650000,44.166700,7 
瑞典,22.289331,65.544486,土耳其,36.188403,36.599597,29 
瑞典,22.289331,65.544486,英国,-3.805300,51.574417,52 
塞拉利昂,-13.212408,8.494067,中国,118.500000,38.933333,86 
塞拉利昂,-13.212408,8.494067,埃及,29.870714,31.189086,3 
塞拉利昂,-13.212408,8.494067,法国,2.343039,51.054903,7 
塞拉利昂,-13.212408,8.494067,加纳,0.010864,5.626594,6 
塞拉利昂,-13.212408,8.494067,印度,80.126953,14.250783,5 
塞拉利昂,-13.212408,8.494067,科特迪瓦,-4.013392,5.270269,6 
塞拉利昂,-13.212408,8.494067,墨西哥,-102.166700,17.916700,4 
塞拉利昂,-13.212408,8.494067,莫桑比克,32.566667,-25.983333,3 
塞拉利昂,-13.212408,8.494067,挪威,10.416700,59.266700,6 
塞拉利昂,-13.212408,8.494067,罗马尼亚,28.650000,44.166700,22 
塞拉利昂,-13.212408,8.494067,泰国,100.824942,13.139208,6 
塞拉利昂,-13.212408,8.494067,美国,-118.266667,33.716667,10 
特尼尼达和多巴哥,-61.479928,10.316594,圣巴茨,-62.853503,17.902303,7 
特尼尼达和多巴哥,-61.479928,10.316594,巴西,-44.383333,-2.566667,69 
特尼尼达和多巴哥,-61.479928,10.316594,加拿大,-66.783300,50.033300,6 
特尼尼达和多巴哥,-61.479928,10.316594,智利,-70.883333,-27.050000,15 
特尼尼达和多巴哥,-61.479928,10.316594,中国,118.500000,38.933333,180 
特尼尼达和多巴哥,-61.479928,10.316594,哥伦比亚,-74.233056,11.067222,27 
特尼尼达和多巴哥,-61.479928,10.316594,古巴,-80.450000,22.033300,6 
特尼尼达和多巴哥,-61.479928,10.316594,埃及,29.870714,31.189086,5 
特尼尼达和多巴哥,-61.479928,10.316594,法国,2.343039,51.054903,3 
特尼尼达和多巴哥,-61.479928,10.316594,加蓬,9.501172,0.284733,3 
特尼尼达和多巴哥,-61.479928,10.316594,圭亚那,-57.516667,6.233333,3 
特尼尼达和多巴哥,-61.479928,10.316594,印度,80.126953,14.250783,18 
特尼尼达和多巴哥,-61.479928,10.316594,日本,131.600000,33.233333,68 
特尼尼达和多巴哥,-61.479928,10.316594,肯尼亚,39.644103,-4.047125,4 
特尼尼达和多巴哥,-61.479928,10.316594,科特迪瓦,-4.013392,5.270269,4 
特尼尼达和多巴哥,-61.479928,10.316594,荷兰,4.073153,51.973264,20 
特尼尼达和多巴哥,-61.479928,10.316594,波兰,18.719658,54.405214,10 
特尼尼达和多巴哥,-61.479928,10.316594,俄罗斯,39.932867,43.411539,4 
特尼尼达和多巴哥,-61.479928,10.316594,斯洛文尼亚,13.733333,45.550000,7 
特尼尼达和多巴哥,-61.479928,10.316594,中国台湾,120.321111,22.563611,8 
特尼尼达和多巴哥,-61.479928,10.316594,英国,-3.805300,51.574417,23 
特尼尼达和多巴哥,-61.479928,10.316594,美国,-118.266667,33.716667,109 
特尼尼达和多巴哥,-61.479928,10.316594,乌拉圭,-58.424389,-33.880725,3 
乌克兰,31.016667,46.600000,巴林,50.711972,26.188528,5 
乌克兰,31.016667,46.600000,中国,118.500000,38.933333,284 
乌克兰,31.016667,46.600000,德国,9.933333,53.533333,9 
乌克兰,31.016667,46.600000,埃及,29.870714,31.189086,13 
乌克兰,31.016667,46.600000,西班牙,-5.700000,43.566667,2 
乌克兰,31.016667,46.600000,克罗地亚,14.466158,44.535172,9 
乌克兰,31.016667,46.600000,意大利,17.200000,40.450000,7 
乌克兰,31.016667,46.600000,日本,131.600000,33.233333,103 
乌克兰,31.016667,46.600000,韩国,127.750000,34.900000,69 
乌克兰,31.016667,46.600000,科特迪瓦,-4.013392,5.270269,5 
乌克兰,31.016667,46.600000,荷兰,4.073153,51.973264,163 
乌克兰,31.016667,46.600000,罗马尼亚,28.650000,44.166700,28 
乌克兰,31.016667,46.600000,俄罗斯,39.932867,43.411539,12 
乌克兰,31.016667,46.600000,沙特阿拉伯,49.683333,27.016667,5 
乌克兰,31.016667,46.600000,斯洛文尼亚,13.733333,45.550000,30 
乌克兰,31.016667,46.600000,泰国,100.824942,13.139208,5 
乌克兰,31.016667,46.600000,土耳其,36.188403,36.599597,74 
乌克兰,31.016667,46.600000,特尼尼达和多巴哥,-61.479928,10.316594,9 
乌克兰,31.016667,46.600000,中国台湾,120.321111,22.563611,17 
乌克兰,31.016667,46.600000,美国,-118.266667,33.716667,8 
委内瑞拉,-62.717861,8.340453,中国,118.500000,38.933333,81 
委内瑞拉,-62.717861,8.340453,德国,9.933333,53.533333,7 
委内瑞拉,-62.717861,8.340453,阿尔及利亚,-0.650000,35.716700,5 
委内瑞拉,-62.717861,8.340453,西班牙,-5.700000,43.566667,6 
委内瑞拉,-62.717861,8.340453,科特迪瓦,-4.013392,5.270269,10 
委内瑞拉,-62.717861,8.340453,荷兰,4.073153,51.973264,11 
委内瑞拉,-62.717861,8.340453,俄罗斯,39.932867,43.411539,5 
委内瑞拉,-62.717861,8.340453,特尼尼达和多巴哥,-61.479928,10.316594,103 
委内瑞拉,-62.717861,8.340453,美国,-118.266667,33.716667,21 
南非,17.966667,-33.033333,中国,118.500000,38.933333,3152 
南非,17.966667,-33.033333,德国,9.933333,53.533333,222 
南非,17.966667,-33.033333,埃及,29.870714,31.189086,51 
南非,17.966667,-33.033333,法国,2.343039,51.054903,7 
南非,17.966667,-33.033333,印度,80.126953,14.250783,167 
南非,17.966667,-33.033333,意大利,17.200000,40.450000,138 
南非,17.966667,-33.033333,日本,131.600000,33.233333,347 
南非,17.966667,-33.033333,韩国,127.750000,34.900000,430 
南非,17.966667,-33.033333,荷兰,4.073153,51.973264,292 
南非,17.966667,-33.033333,波兰,18.719658,54.405214,19 
南非,17.966667,-33.033333,罗马尼亚,28.650000,44.166700,7 
南非,17.966667,-33.033333,沙特阿拉伯,49.683333,27.016667,5 
南非,17.966667,-33.033333,新加坡,103.833333,1.366667,18 
南非,17.966667,-33.033333,斯洛文尼亚,13.733333,45.550000,62 
南非,17.966667,-33.033333,土耳其,36.188403,36.599597,84 
南非,17.966667,-33.033333,英国,-3.805300,51.574417,68 
南非,17.966667,-33.033333,美国,-118.266667,33.716667,11 
南非,17.966667,-33.033333,越南,106.683300,20.866700,25 